baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0,0,28,28,0.0,2023-09-06 01:42:00.023
ltc,btc,245900,0,0,0,245900,245900,0.0,2023-09-06 01:42:00.026
zec,usdc.eth,0,0,0,0,0,0,0.0,2023-09-06 01:41:57.011
dcr,ltc,15849000,0,0,0,15849000,15849000,0.0,2023-09-06 01:41:57.023
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,0.0,2023-09-06 01:41:57.020
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,0.0,2023-09-06 01:42:00.020
doge,btc,0,0,0,0,0,0,0.0,2023-09-06 01:42:00.023
zec,btc,125300,0,0,0,125300,125300,0.0,2023-09-06 01:42:00.023
dcr,btc,50600,0,0,160,50600,49900,2103.123275813504,2023-09-06 01:42:00.181
eth,btc,699000,0,0,0,699000,699000,0.0,2023-09-06 01:41:57.018
