id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-08-30 03:38:59,[3],0.49,False,766,15717,94,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-08-30 03:39:00,[3],0.6900000000000001,False,115,340,1,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-08-30 03:38:59,[3],0.666,False,53,63,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-08-30 03:39:00,[3],1,False,55,1116,8,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-08-30 03:39:00,[3],1,False,18,382,2,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-08-30 03:39:00,[3],0.9500000000000001,False,220,6216,33,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-08-30 03:39:00,[3],1,False,114,2628,19,1.1.1
stakey.net,mainnet,2020-10-22,2022-08-30 03:38:59,[3],1,False,298,24880,179,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-08-30 03:38:59,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-08-30 03:39:00,[3],3,False,0,213720,1024,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-08-30 03:38:59,[3],0.30000000000000004,False,872,4837,13,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-08-30 03:38:59,[3],0.5,False,326,25506,157,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-08-30 03:38:59,[3],0.9500000000000001,False,123,5040,24,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-08-30 03:39:00,[3],0.49,False,320,3357,12,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-08-30 03:39:00,[3],1,False,663,18282,98,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-08-30 03:39:00,[3],1,True,0,68,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-08-30 03:39:00,[3],0.30000000000000004,False,787,6129,25,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-08-30 03:39:00,[3],0.2,False,279,149,0,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-08-30 03:39:00,[3],5,False,90,1560,11,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-08-30 03:39:00,[3],0.30000000000000004,False,1759,18877,89,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-08-30 03:39:00,[3],0.75,True,197,696,3,1.1.1
