id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-08-22 03:19:49,[3],0.49,False,812,15517,94,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-08-22 03:19:49,[3],0.6900000000000001,False,115,310,0,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-08-22 03:19:49,[3],0.666,False,47,44,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-08-22 03:19:51,[3],1,False,55,1116,8,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-08-22 03:19:49,[3],1,False,23,372,1,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-08-22 03:19:49,[3],0.9500000000000001,False,226,6166,33,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-08-22 03:19:49,[3],1,False,108,2592,16,1.1.1
stakey.net,mainnet,2020-10-22,2022-08-22 03:19:49,[3],1,False,317,24803,177,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-08-22 03:19:49,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-08-22 03:19:49,[3],3,False,0,213717,1024,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-08-22 03:19:49,[3],0.30000000000000004,False,598,4639,13,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-08-22 03:19:49,[3],0.5,False,312,25415,154,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-08-22 03:19:49,[3],0.9500000000000001,False,128,4995,23,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-08-22 03:19:49,[3],0.49,False,312,3276,10,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-08-22 03:19:49,[3],1,False,654,18108,97,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-08-21 06:44:49,[3],1,False,0,66,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-08-22 03:19:49,[3],0.30000000000000004,False,805,5904,24,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-08-22 03:19:50,[3],0.2,False,194,84,0,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-08-22 03:19:49,[3],5,False,88,1536,11,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-08-22 03:19:49,[3],0.30000000000000004,False,1967,18367,84,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-08-22 03:19:49,[3],0.75,True,255,638,3,1.1.1
