id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-11-25 02:23:59,[3],0.49,False,681,17755,108,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-11-25 02:24:00,[3],0.6900000000000001,False,196,876,1,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-11-25 02:23:59,[3],0.666,False,167,470,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-11-25 02:24:00,[3],1,False,7,1177,9,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-11-25 02:24:00,[3],5,False,24,465,2,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-11-25 02:23:59,[3],0.9500000000000001,False,234,6988,39,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-11-25 02:24:00,[3],1,False,215,2965,23,1.1.1
stakey.net,mainnet,2020-10-22,2022-11-25 02:23:59,[3],1,False,293,25716,185,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-10-26 08:33:54,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-11-25 02:24:00,[3],3,False,3,213736,1027,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-11-25 02:24:00,[3],0.30000000000000004,False,1011,6843,23,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-11-25 02:23:59,[3],0.5,False,270,26355,165,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-11-25 02:23:59,[3],0.9500000000000001,False,166,5625,34,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-11-25 02:24:00,[3],0.49,False,590,4771,14,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-11-25 02:24:00,[3],1,False,677,20227,108,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-10-20 08:18:54,[3],1,True,0,68,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-11-25 02:24:00,[3],0.30000000000000004,False,1488,9392,37,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-11-25 02:24:00,[3],0.2,False,862,2571,15,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-11-25 02:24:00,[3],5,False,76,1806,12,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-10-03 23:18:54,[3],0.30000000000000004,False,1332,21042,101,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-11-25 02:24:00,[3],0.75,True,6,887,3,1.1.1
