side,qty,rate,time
2,360.0,100000,2025-05-26 11:18:48.732
2,160.0,20000,2025-05-19 05:26:07.790
2,400.0,20000,2025-05-26 11:18:26.740
2,160.0,18000,2025-05-19 05:25:53.415
2,40.0,17000,2025-05-26 08:00:43.126
2,40.0,16000,2025-05-26 08:00:29.373
2,40.0,15000,2025-05-20 04:30:08.889
2,40.0,14430,2025-05-30 01:18:46.855
2,40.0,14390,2025-05-30 01:18:46.671
2,40.0,14280,2025-05-30 01:28:30.916
1,40.0,14070,2025-05-30 01:18:46.201
1,40.0,14020,2025-05-30 01:18:46.410
1,40.0,13920,2025-05-30 01:23:00.245
1,40.0,13820,2025-05-30 01:11:31.697
1,40.0,13780,2025-05-30 01:11:32.109
