baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0.0,0,28,28,0.0,2023-08-28 01:42:24.022
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-08-28 01:42:24.022
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-08-28 01:42:23.019
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-08-28 01:42:23.022
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-08-28 01:42:23.022
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-08-28 01:42:24.019
doge,btc,0,0,0.0,0,0,0,0.0,2023-08-28 01:42:24.022
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-08-28 01:42:24.022
dcr,btc,51200,0,-0.055350553505535055,560,55000,51200,7440.084047320905,2023-08-28 01:42:20.400
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-08-28 01:42:23.022
