,addresses,last_update,pub_key,alias,color,is_reachable,fx,fy,features.9.name,features.9.is_required,features.9.is_known,features.13.name,features.13.is_required,features.13.is_known,geo_info.country_code,geo_info.country_name,geo_info.region_code,geo_info.region_name,geo_info.latitude,geo_info.longitude,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.15.name,features.15.is_required,features.15.is_known,features.17.name,features.17.is_required,features.17.is_known,outCount,outCapacity,inCount,inCapacity,chCount
28,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",1667276035,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,#3399ff,True,418.49316209869556,248.76949798274032,tlv-onion,False,True,static-remote-key,False,True,US,United States,NJ,New Jersey,40.4131,-74.2372,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,8.0,167991802.0,28.0,1390261539.0,36.0
37,"[{'network': 'tcp', 'addr': '51.68.214.224:9735'}]",1666728401,03ec729b8d558ce05455525577eec5872e104bd1ee52b69c744e7d61a6765fbc1c,jholdstock ⚡,#ff6600,True,446.73196058663217,344.99217256288773,tlv-onion,False,True,static-remote-key,False,True,GB,United Kingdom,ENG,England,51.504,-0.3609,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,40000000.0,9.0,446189892.0,10.0
35,"[{'network': 'tcp', 'addr': '82.165.108.160:9735'}]",1667354147,03d59c3acef408f54870b4f06d18007ca069c6c7bce913d36aae79219c8f46b9d3,watchtower.decred.live,#41bf53,True,351.55620859341843,439.2252244175544,tlv-onion,False,True,static-remote-key,False,True,DE,Germany,,,51.2993,9.491,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,200000000.0,5.0,1000000000.0,6.0
36,[],1666857936,03ea6dfff9e1cb747ff426da64bc849b60788864e6ca5e5ac746245273ddd7042a,03ea6dfff9e1cb747ff4,#3399ff,False,492.24832030355486,212.5850987351166,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,9996310.0,4.0,40000000.0,5.0
34,"[{'network': 'tcp', 'addr': '95.216.110.66:9735'}]",1667288778,03cfb6f8ca8efa8fb940494c9af11532c6442736b86650fcb3a61e02883dc0d81d,ln.decredcommunity.org,#70cbff,False,435.4950677780547,374.47193294414524,tlv-onion,False,True,static-remote-key,False,True,FI,Finland,18,Uusimaa,60.1719,24.9347,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,200000000.0,4.0,265807068.0,5.0
23,"[{'network': 'tcp', 'addr': '108.170.31.106:9735'}]",1667314090,033c8d18df6a62acb3eda5d385a962ca3e34055d05421191ad4eeff58aefa06ed8,watchtower.decred.energy,#41bf53,True,326.4580008098558,366.4613746876148,tlv-onion,False,True,static-remote-key,False,True,US,United States,AZ,Arizona,33.4475,-112.0866,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,3.0,600000000.0,2.0,400000000.0,5.0
38,"[{'network': 'tcp', 'addr': '18.230.115.229:9735'}]",1641762028,03f2c91b29337de58a95ca90165b13a10e46e83b621cdf660ea30deeff127d44d1,Liq-BR,#009c3b,False,391.5747096435795,322.8863709992617,tlv-onion,False,True,static-remote-key,False,True,BR,Brazil,SP,Sao Paulo,-23.5335,-46.6359,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,4.0,73590666.0,4.0
1,"[{'network': 'tcp', 'addr': '51.15.91.167:9735'}]",1660693449,0204380154466972338341f5a5b5814be7a96e35f2a76ab3a45fd0baee5bafbd00,El Gran Bisonte ⚡🐂⚡,#091440,True,382.2691460357477,348.3146794203557,tlv-onion,False,True,static-remote-key,False,True,NL,Netherlands,NH,North Holland,52.3759,4.8975,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,4.0,709000000.0,0.0,0.0,4.0
10,[],1613720061,026d68b7ca00f6857930da9f5e070b2feb2ca430b38d7dfc24c7a4132763938408,026d68b7ca00f6857930,#3399ff,False,456.6519869049826,200.7790493023152,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,4.0,16907447.0,0.0,0.0,4.0
33,[],1614748425,03c2865ebbe5b5e5dc38829d974a697c486eff535c13a68ad80fb0fc71f47e17eb,dcr.farm,#0088c6,False,476.9010233034823,162.89659218255136,tlv-onion,False,True,static-remote-key,False,True,,,,,,,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,20000000.0,1.0,1000000.0,3.0
30,"[{'network': 'tcp', 'addr': '103.212.120.137:9735'}]",1667351731,03aa05f777bf81c4c4c6e33d559235e0dd0ab4dd6046428e72c142a14f858934ba,in.decred.live,#41bf53,True,300.7253547854142,515.5728015719648,tlv-onion,False,True,static-remote-key,False,True,IN,India,,,22.0,79.0,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,210000000.0,1.0,5000000.0,3.0
11,"[{'network': 'tcp', 'addr': '172.86.124.234:9735'}]",1596958725,027d489e4cfe55b8a10f29bf1a7cd779a827d90a94d3bb160e0772dc6316875bba,Let there be Guang,#7fffd4,False,340.8436676253313,224.907399339646,tlv-onion,False,True,static-remote-key,False,True,US,United States,CA,California,34.0485,-118.2529,,,,,,,,,,,,,,,,2.0,111856472.0,1.0,100000000.0,3.0
12,"[{'network': 'tcp', 'addr': '51.159.183.72:9735'}]",1667324120,0282df350084f7bb5ec5ee22690eab23378ea0278a73806e997c4be6ac8fa13c96,⚡decred.lighting⚡,#ffa500,True,473.25551619024054,316.00715577093507,tlv-onion,False,True,static-remote-key,False,True,FR,France,IDF,Île-de-France,48.8323,2.4075,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,3.0,280145984.0,0.0,0.0,3.0
